City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
200,Isla Mujeres,MX,80.6,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
202,Adrar,MR,85.57,overcast clouds,20.5022,-10.0711,Nan
203,Atar,MR,87.15,broken clouds,20.5169,-13.0499,Oumou Elghoura
205,Paracuru,BR,82.99,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
206,Pitimbu,BR,82.4,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
207,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Poutur Pousada
210,Yanam,IN,76.41,broken clouds,16.7333,82.2167,The Regency Hotel
211,Mahebourg,MU,80.01,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
212,Bengkulu,ID,76.62,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
213,Tres Lagoas,BR,89.35,overcast clouds,-20.7511,-51.6783,Druds Express Hotel
218,Fayaoue,NC,77.81,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
219,Olinda,BR,82.4,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
220,Iranshahr,IR,82.4,clear sky,27.2025,60.6848,پلکه بزرگ
221,Palu,ID,75.07,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
222,Alofi,NU,80.6,broken clouds,-19.0595,-169.9187,Taloa Heights
227,Taoudenni,ML,88.5,broken clouds,22.6783,-3.9836,Nan
230,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
238,Bitung,ID,79.83,broken clouds,1.4451,125.1824,K2 Lembeh
240,Rawson,AR,86.2,few clouds,-43.3002,-65.1023,Hosteria Sampedro
251,Bilma,NE,77.67,clear sky,18.6853,12.9164,Expeditions Ténére voyages
252,Puerto Ayacucho,VE,78.91,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
257,Abonnema,NG,81.37,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
263,Eyl,SO,80.28,few clouds,7.9803,49.8164,Amiin Hotel
269,Santa Maria,BR,84.2,few clouds,-29.6842,-53.8069,Hotel Morotin
270,Poya,NC,76.44,broken clouds,-21.35,165.15,Nan
277,Tuxpan,MX,86.0,scattered clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
278,Ewa Beach,US,75.2,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
280,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
281,Tuburan,PH,81.25,broken clouds,6.6439,122.2736,GT Site
283,Camapua,BR,88.43,broken clouds,-19.5314,-54.0439,Comercial Estrela
285,Biak,ID,77.22,light rain,-0.9131,122.8766,Penginapan Kim
286,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
287,Agadez,NE,75.56,overcast clouds,19.75,10.25,Nan
288,Cayhagan,PH,77.59,broken clouds,9.6697,122.4256,Melrose Beach Resort
293,Sassandra,CI,78.4,light rain,4.95,-6.0833,la terrasse
297,Point Fortin,TT,84.99,broken clouds,10.1833,-61.6833,Jus Les' Suites
298,Labuhan,ID,77.58,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
299,San Patricio,US,78.01,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
301,Tutoia,BR,79.05,overcast clouds,-2.7619,-42.2744,Pousada Guará's
303,Fare,PF,81.64,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
305,Mitsamiouli,KM,82.13,broken clouds,-11.3847,43.2844,Foyer ADM
307,Kavieng,PG,79.38,moderate rain,-2.5744,150.7967,Nusa Island Retreat
308,Samarai,PG,82.47,scattered clouds,-10.6167,150.6667,Nuli Sapi
311,Popondetta,PG,75.34,overcast clouds,-8.7537,148.2534,Timos Transit House
312,Presidencia Roque Saenz Pena,AR,80.78,overcast clouds,-26.7852,-60.4388,Hotel Gualok
314,Waingapu,ID,76.66,heavy intensity rain,-9.6567,120.2641,Pondok Wisata Elim
315,Diamantino,BR,83.12,broken clouds,-14.4086,-56.4461,Hotel Delta
318,Sao Joao Da Barra,BR,80.6,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
319,Luanda,AO,78.8,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
320,Garoua Boulai,CM,79.7,overcast clouds,5.8833,14.55,Motel l'as Vegas
323,Parana,AR,86.0,scattered clouds,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
324,San Policarpo,PH,81.43,overcast clouds,12.1791,125.5072,JM Lodge
327,Cap Malheureux,MU,80.01,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
328,Bembereke,BJ,84.33,broken clouds,10.2283,2.6634,Hotel Bio Guera
330,Sao Paulo De Olivenca,BR,80.1,overcast clouds,-3.3783,-68.8725,Nan
332,Conde,BR,82.4,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
336,Nuevo Progreso,MX,79.0,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
337,Salinopolis,BR,79.75,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
342,San Juan,AR,85.23,broken clouds,-31.5375,-68.5364,Hotel Provincial
345,Caravelas,BR,77.38,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
346,Port Moresby,PG,75.2,scattered clouds,-9.4431,147.1797,Lamana Hotel
352,Pouebo,NC,76.24,overcast clouds,-20.4,164.5667,Rural Family Home De Pouébo
353,Maldonado,UY,75.99,few clouds,-34.6667,-54.9167,La Cimarrona
354,Vila Do Maio,CV,80.6,clear sky,15.1333,-23.2167,Residence 'I Delfini'
355,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
364,Joao Pinheiro,BR,76.24,overcast clouds,-17.7425,-46.1725,Hotel Santos
368,Bambous Virieux,MU,80.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
369,Mahibadhoo,MV,82.99,clear sky,3.7833,72.9667,Omadhoo Inn
371,Carora,VE,89.71,overcast clouds,10.1755,-70.0827,Hotel Irpinia
377,Tagusao,PH,77.72,overcast clouds,9.1924,117.8141,Toledo
