City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
162,Virginia Beach,36.8529,-75.978,few clouds,73.4,25,20,9.22,US
163,Solnechnyy,50.7214,136.6319,few clouds,26.46,59,22,3.78,RU
164,Shahdadkot,27.8477,67.9055,scattered clouds,83.82,9,42,8.01,PK
165,Mazamari,-11.3258,-74.5308,broken clouds,81.32,66,75,1.21,PE
166,Constitucion,-35.3333,-72.4167,few clouds,61.68,71,13,7.49,CL
167,Tual,-5.6667,132.75,broken clouds,83.57,70,74,4.47,ID
168,Belaya Gora,68.5333,146.4167,overcast clouds,-3.64,96,100,8.1,RU
169,Pahalgam,34.0333,75.3333,overcast clouds,40.62,98,100,6.69,IN
170,Westport,41.1415,-73.3579,clear sky,61.0,28,1,12.66,US
171,Port Hardy,50.6996,-127.4199,few clouds,46.4,61,20,13.8,CA
172,Pevek,69.7008,170.3133,overcast clouds,-10.46,95,97,9.35,RU
173,Lata,40.1629,-8.3327,clear sky,60.01,82,0,3.44,PT
174,Narsaq,60.9167,-46.05,broken clouds,41.0,75,75,6.91,GL
175,Turinsk,58.0458,63.696,overcast clouds,33.4,99,100,4.47,RU
176,Ashdod,31.8167,34.65,clear sky,60.01,77,0,5.75,IL
177,Poum,-20.2333,164.0167,broken clouds,78.85,73,84,24.18,NC
178,Nuuk,64.1835,-51.7216,snow,35.01,93,100,47.0,GL
179,Kochinda,21.7333,84.35,clear sky,70.77,65,0,5.3,IN
180,Victor Harbor,-35.5667,138.6167,few clouds,63.0,77,22,10.56,AU
181,Te Horo,-40.8084,175.1233,overcast clouds,64.99,91,100,5.01,NZ
182,Voh,-20.9667,164.7,broken clouds,75.78,79,73,7.31,NC
183,Beringovskiy,63.05,179.3167,few clouds,-0.4,84,14,3.27,RU
184,Myre,69.1036,15.9492,light snow,32.0,74,73,14.97,NO
185,Los Llanos De Aridane,28.6585,-17.9182,overcast clouds,66.2,59,90,1.97,ES
186,Sabha,27.0377,14.4283,scattered clouds,75.72,10,41,14.07,LY
187,Goderich,43.7501,-81.7165,few clouds,42.8,75,22,9.22,CA
188,Harper,4.375,-7.7169,light rain,79.57,86,49,5.44,LR
189,Nome,64.5011,-165.4064,snow,-0.99,78,90,32.21,US
190,Aboisso,5.4678,-3.2071,light rain,79.02,88,56,4.5,CI
191,Igrim,63.1906,64.4162,overcast clouds,30.74,98,100,4.36,RU
192,Thompson,55.7435,-97.8558,scattered clouds,42.8,28,40,2.3,CA
193,Makakilo City,21.3469,-158.0858,scattered clouds,75.2,64,40,11.5,US
194,Kahului,20.8947,-156.47,moderate rain,75.2,88,40,18.41,US
195,Abu Dhabi,24.4667,54.3667,clear sky,75.2,60,0,11.5,AE
196,Rajapur,25.3833,81.15,clear sky,80.33,6,1,1.52,IN
197,Santa Cruz,-17.8,-63.1667,broken clouds,82.4,65,75,11.5,BO
198,Qaqortoq,60.7167,-46.0333,broken clouds,41.0,75,75,6.91,GL
199,Chuy,-33.6971,-53.4616,few clouds,70.11,81,16,12.12,UY
200,Isla Mujeres,21.2311,-86.731,scattered clouds,80.6,50,40,14.97,MX
201,Half Moon Bay,37.4636,-122.4286,clear sky,63.0,67,1,13.8,US
202,Adrar,20.5022,-10.0711,overcast clouds,85.57,12,100,9.86,MR
203,Atar,20.5169,-13.0499,broken clouds,87.15,12,72,9.46,MR
204,Kiama,-34.6833,150.8667,scattered clouds,69.01,89,40,3.0,AU
205,Paracuru,-3.41,-39.0306,broken clouds,82.99,74,79,18.01,BR
206,Pitimbu,-7.4706,-34.8086,scattered clouds,82.4,83,40,9.22,BR
207,Maceio,-9.6658,-35.7353,broken clouds,78.8,89,75,6.91,BR
208,Khandyga,62.6667,135.6,scattered clouds,-30.96,100,47,1.54,RU
209,Nikolskoye,59.7035,30.7861,clear sky,39.99,75,0,6.71,RU
210,Yanam,16.7333,82.2167,broken clouds,76.41,96,80,1.88,IN
211,Mahebourg,-20.4081,57.7,scattered clouds,80.01,78,42,5.99,MU
212,Bengkulu,-3.8004,102.2655,moderate rain,76.62,83,100,9.6,ID
213,Tres Lagoas,-20.7511,-51.6783,overcast clouds,89.35,26,85,9.4,BR
214,Atbasar,51.8,68.3333,overcast clouds,32.34,96,100,5.06,KZ
215,Burnie,-41.0667,145.9167,clear sky,53.49,82,0,7.87,AU
216,Portland,45.5234,-122.6762,overcast clouds,55.99,40,90,8.05,US
217,Waiouru,-39.4833,175.6667,overcast clouds,57.42,70,100,6.69,NZ
218,Fayaoue,-20.65,166.5333,overcast clouds,77.81,66,88,22.12,NC
219,Olinda,-8.0089,-34.8553,broken clouds,82.4,69,75,9.22,BR
220,Iranshahr,27.2025,60.6848,clear sky,82.4,17,5,2.86,IR
221,Palu,-0.8917,119.8707,overcast clouds,75.07,91,100,2.04,ID
222,Alofi,-19.0595,-169.9187,broken clouds,80.6,83,75,8.05,NU
223,Ancud,-41.8697,-73.8203,clear sky,64.99,59,0,11.5,CL
224,Izazi,-7.2,35.7333,few clouds,66.2,77,20,2.48,TZ
225,Kautokeino,69.0125,23.0412,light snow,26.46,97,100,8.52,NO
226,Luderitz,-26.6481,15.1594,clear sky,70.41,66,0,16.55,NA
227,Taoudenni,22.6783,-3.9836,broken clouds,88.5,8,70,10.98,ML
228,Camana,-16.6228,-72.7111,overcast clouds,72.73,80,100,6.8,PE
229,Livingston,55.9029,-3.5226,scattered clouds,46.4,66,40,16.11,GB
230,San Cristobal,7.7669,-72.225,scattered clouds,84.2,70,40,9.22,VE
231,Egvekinot,66.3167,-179.1667,scattered clouds,-4.25,76,36,0.69,RU
232,Paramonga,-10.6667,-77.8333,scattered clouds,73.62,75,37,7.61,PE
233,East London,-33.0153,27.9116,clear sky,66.9,73,1,12.91,ZA
234,Kununurra,-15.7667,128.7333,few clouds,69.8,94,12,3.02,AU
235,Caraga,9.0,125.7417,overcast clouds,68.32,97,100,3.15,PH
236,Brenham,30.1669,-96.3977,broken clouds,72.0,64,75,7.4,US
237,Juneau,58.3019,-134.4197,snow,39.2,70,90,14.97,US
238,Bitung,1.4451,125.1824,broken clouds,79.83,80,68,8.28,ID
239,Tuktoyaktuk,69.4541,-133.0374,snow,-2.2,78,75,19.57,CA
240,Rawson,-43.3002,-65.1023,few clouds,86.2,27,16,22.15,AR
241,Merritt Island,28.5392,-80.672,clear sky,73.0,43,1,8.05,US
242,Lunglei,22.8833,92.7333,broken clouds,59.18,70,57,3.76,IN
243,Tazovskiy,67.4667,78.7,light snow,30.22,98,100,8.52,RU
244,Stromness,58.965,-3.296,light snow,30.2,93,75,34.52,GB
245,Riviere-Au-Renard,48.9957,-64.3971,light snow,32.0,86,90,8.05,CA
246,Saldanha,-33.0117,17.9442,clear sky,64.4,88,6,8.05,ZA
247,Baruun-Urt,46.6806,113.2792,clear sky,33.6,55,0,6.06,MN
248,Quang Ngai,15.1167,108.8,few clouds,71.08,91,13,4.07,VN
249,Vilyuysk,63.7553,121.6247,overcast clouds,-17.12,99,100,1.99,RU
250,Kamina,-8.7386,24.9906,few clouds,65.1,91,24,3.02,CD
